"dataset","atributes","type"
"Iris","4 Attributes","150 Instances"
"Heart Disease","13 Attributes","303 Instances"
"Adult","14 Attributes","48.84K Instances"
"Dry Bean Dataset","16 Attributes","13.61K Instances"
"Diabetes","20 Attributes","0 Instances"
"Wine","13 Attributes","178 Instances"
"Breast Cancer Wisconsin (Diagnostic)","30 Attributes","569 Instances"
"Car Evaluation","6 Attributes","1.73K Instances"
"Rice (Cammeo and Osmancik)","8 Attributes","3.81K Instances"
"Mushroom","22 Attributes","8.12K Instances"
